fecha,hora,ticker,nombre,spot,gex_neto
2026-08-15,17:41:43,SPY,S&P 500 (proxy),776.34,4777600520.819913
2026-08-15,17:41:43,QQQ,Nasdaq 100 / NAS100 (proxy),731.07,2308932102.705761
2026-08-17,16:40:12,SPY,S&P 500 (proxy),772.67,1706308728.7845788
2026-08-17,16:40:12,QQQ,Nasdaq 100 / NAS100 (proxy),729.87,1503216464.2411268
2026-08-18,16:37:23,SPY,S&P 500 (proxy),767.45,-3541828502.071144
2026-08-18,16:37:23,QQQ,Nasdaq 100 / NAS100 (proxy),717.51,-3081674265.2147985
2026-08-19,16:42:58,SPY,S&P 500 (proxy),769.06,-2013916663.799014
2026-08-19,16:42:58,QQQ,Nasdaq 100 / NAS100 (proxy),716.08,-2644003530.098733
2026-08-20,16:43:05,SPY,S&P 500 (proxy),762.6,-4337129196.059911
2026-08-20,16:43:05,QQQ,Nasdaq 100 / NAS100 (proxy),710.93,-633678856.0204555
2026-08-21,16:37:58,SPY,S&P 500 (proxy),765.72,-4236348999.8447447
2026-08-21,16:37:58,QQQ,Nasdaq 100 / NAS100 (proxy),713.44,-54578608.15353022
2026-08-24,16:45:53,SPY,S&P 500 (proxy),763.47,-5481841929.048576
2026-08-24,16:45:53,QQQ,Nasdaq 100 / NAS100 (proxy),706.32,-837147162.921848
2026-08-25,16:42:53,SPY,S&P 500 (proxy),765.91,-1095352924.037576
2026-08-25,16:42:53,QQQ,Nasdaq 100 / NAS100 (proxy),710.72,368238884.39377904
2026-09-09,17:12:39,SPY,S&P 500 (proxy),762.4,-5498624134.401545
2026-09-09,17:12:39,QQQ,Nasdaq 100 / NAS100 (proxy),716.31,-280573512.56125486
2026-09-10,18:32:54,SPY,S&P 500 (proxy),757.83,-5847511508.887271
2026-09-10,18:32:54,QQQ,Nasdaq 100 / NAS100 (proxy),708.69,-1872177812.3902264
2026-09-11,18:32:20,SPY,S&P 500 (proxy),764.29,-3648630858.425045
2026-09-11,18:32:20,QQQ,Nasdaq 100 / NAS100 (proxy),714.88,-1196605370.9462245
2026-09-14,19:06:43,SPY,S&P 500 (proxy),760.88,-6520088522.041553
2026-09-14,19:06:43,QQQ,Nasdaq 100 / NAS100 (proxy),709.18,-2295563090.115292
2026-09-15,18:52:13,SPY,S&P 500 (proxy),757.39,-8383808719.562494
2026-09-15,18:52:13,QQQ,Nasdaq 100 / NAS100 (proxy),704.54,-3324293903.8201537
2026-09-16,18:54:34,SPY,S&P 500 (proxy),754.05,-9986949461.288864
2026-09-16,18:54:34,QQQ,Nasdaq 100 / NAS100 (proxy),704.72,-3494870196.9440336
2026-09-17,18:50:16,SPY,S&P 500 (proxy),762.6,-214747655.19484505
2026-09-17,18:50:16,QQQ,Nasdaq 100 / NAS100 (proxy),716.92,-191561677.51102093
2026-09-18,18:32:59,SPY,S&P 500 (proxy),761.69,-3172292356.323848
2026-09-18,18:32:59,QQQ,Nasdaq 100 / NAS100 (proxy),721.45,1413487418.79677
2026-09-21,19:14:59,SPY,S&P 500 (proxy),773.5,4892065384.295428
2026-09-21,19:14:59,QQQ,Nasdaq 100 / NAS100 (proxy),741.47,2124786096.380356
2026-09-22,18:55:03,SPY,S&P 500 (proxy),773.38,4200943037.5699406
2026-09-22,18:55:03,QQQ,Nasdaq 100 / NAS100 (proxy),747.46,1675030152.568827
2026-09-23,18:55:32,SPY,S&P 500 (proxy),767.81,-810433174.6586808
2026-09-23,18:55:32,QQQ,Nasdaq 100 / NAS100 (proxy),741.21,-1158437878.305243
2026-09-24,19:11:44,SPY,S&P 500 (proxy),767.18,-1077250562.3729722
2026-09-24,19:11:44,QQQ,Nasdaq 100 / NAS100 (proxy),741.1,511724432.62230337
